method,arch,window_s,tasks,cv,exercise_f1,exercise_f1_std,phase_f1,phase_f1_std,fatigue_mae,fatigue_mae_std,fatigue_r,reps_mae,reps_mae_std
RF (LightGBM/RandomForest),rf,-,all (separate per task),LOSO 10-fold,0.568983895740142,0.13772918487621813,0.485952254044954,0.02720336873016082,0.992551990493167,0.2082747840870339,0.18961006687440718,2.604349887766554,0.8641371202430793
NN multi-task,lstm,1,all 4,LOSO 10-fold × 3 seeds,0.3187019965610799,0.10925486257936218,0.3111505026840414,0.0567309440808306,1.1004705749872197,0.2749594833014377,0.23590160274609412,0.15667698497697685,0.056058947903192775
NN multi-task,lstm,2,all 4,LOSO 10-fold × 3 seeds,0.33232039909993305,0.08274879085480366,0.3304256189741132,0.03418988221724683,0.9948676396036856,0.21864704717619693,0.2696941213691803,0.14518406591177843,0.05177610584722476
NN multi-task,lstm,5,all 4,LOSO 10-fold × 3 seeds,0.12323075042027165,0.01452147285852397,0.2168465185467513,0.016026714712923693,1.090888174653937,0.2544890917350506,0.20534430856726643,0.2170782260857292,0.04740320565144669
NN multi-task,mlp,1,all 4,LOSO 10-fold × 3 seeds,0.5585988620242992,0.14756011824458953,0.3463945351532161,0.030073321622749043,1.1673874337466494,0.2189332558801741,0.277975948231947,0.16012563398608842,0.04288916278427598
NN multi-task,mlp,2,all 4,LOSO 10-fold × 3 seeds,0.5295044619130969,0.13749491439993394,0.33970229929273177,0.03360769450903416,1.2355561193695688,0.2360468040739035,0.2248552869472465,0.1684700128301169,0.04846797473504648
NN multi-task,mlp,5,all 4,LOSO 10-fold × 3 seeds,0.5288761604260032,0.14176234287393197,0.34527709269445594,0.042542533168433705,1.2972554453972711,0.22437940682816992,0.17910625815438763,0.19825773958223422,0.04800973176325787
NN single-task,mlp,1,exercise,LOSO 10-fold × 3 seeds,0.5498076412892189,0.15546975741936123,,,,,,,
NN single-task,lstm,2,fatigue,LOSO 10-fold × 3 seeds,,,,,0.9163363181864314,0.1906895996931668,0.14210860253242064,,
NN single-task,mlp,1,phase,LOSO 10-fold × 3 seeds,,,0.3120263113656406,0.04846852224828531,,,,,
NN single-task,lstm,2,reps,LOSO 10-fold × 3 seeds,,,,,,,,0.15065596545377186,0.04922577459272015
