slug,val_total_mean,val_total_std,exercise_f1_mean,exercise_f1_std,phase_f1_mean,phase_f1_std,fatigue_mae_mean,fatigue_mae_std,fatigue_pearson_mean,fatigue_pearson_std,reps_mae_mean,reps_mae_std
v17multi-lstm-w1s,-0.4835059701357606,0.37021205584999395,0.3187019965610799,0.10925486257936218,0.3111505026840414,0.0567309440808306,1.1004705749872197,0.2749594833014377,0.23590160274609412,0.21973265018918944,0.15667698497697685,0.056058947903192775
v17multi-lstm-w2s,-0.585674460229847,0.26473738269989494,0.33232039909993305,0.08274879085480366,0.3304256189741132,0.03418988221724683,0.9948676396036856,0.21864704717619693,0.2696941213691803,0.20484180086887044,0.14518406591177843,0.05177610584722476
v17multi-lstm-w5s,0.1518175224463145,0.13075782969217986,0.12323075042027165,0.01452147285852397,0.2168465185467513,0.016026714712923693,1.090888174653937,0.2544890917350506,0.20534430856726643,0.18868116568124693,0.2170782260857292,0.04740320565144669
v17multi-mlp-w1s,-0.45007557373273127,0.439836317864453,0.5585988620242992,0.14756011824458953,0.3463945351532161,0.030073321622749043,1.1673874337466494,0.2189332558801741,0.277975948231947,0.21959264126825792,0.16012563398608842,0.04288916278427598
v17multi-mlp-w2s,-0.46059087110487545,0.290007723356827,0.5295044619130969,0.13749491439993394,0.33970229929273177,0.03360769450903416,1.2355561193695688,0.2360468040739035,0.2248552869472465,0.17452054632988287,0.1684700128301169,0.04846797473504648
v17multi-mlp-w5s,-0.007774356007575989,0.22874008690004377,0.5288761604260032,0.14176234287393197,0.34527709269445594,0.042542533168433705,1.2972554453972711,0.22437940682816992,0.17910625815438763,0.18172233043494299,0.19825773958223422,0.04800973176325787
v17single-exercise-mlp-w1s,0.4949444114289786,0.10775070108947266,0.5498076412892189,0.15546975741936123,,,,,,,,
v17single-fatigue-lstm-w2s,0.4634904516048921,0.08752325783129361,,,,,0.9163363181864314,0.1906895996931668,0.14210860253242064,0.1573318410110087,,
v17single-phase-mlp-w1s,-0.2775503539864416,0.1576791156234176,,,0.3120263113656406,0.04846852224828531,,,,,,
v17single-reps-lstm-w2s,-1.4535125224019605,0.19132932648236164,,,,,,,,,0.15065596545377186,0.04922577459272015
